#timestamp tx ty tz qx qy qz qw
16.690000 33.704749 7.317220 0.000000 0.000000 -0.000000 -0.067291 0.997733
16.691000 33.709438 7.316584 0.000000 0.000000 -0.000000 -0.067236 0.997737
16.692000 33.714125 7.315950 0.000000 0.000000 -0.000000 -0.067181 0.997741
16.693000 33.718809 7.315317 0.000000 0.000000 -0.000000 -0.067125 0.997745
16.694000 33.723492 7.314684 0.000000 0.000000 -0.000000 -0.067069 0.997748
16.695000 33.728173 7.314052 0.000000 0.000000 -0.000000 -0.067013 0.997752
16.696000 33.732851 7.313421 0.000000 0.000000 -0.000000 -0.066957 0.997756
16.697000 33.737527 7.312791 0.000000 0.000000 -0.000000 -0.066900 0.997760
16.698000 33.742201 7.312162 0.000000 0.000000 -0.000000 -0.066842 0.997764
16.699000 33.746873 7.311533 0.000000 0.000000 -0.000000 -0.066785 0.997767
16.700000 33.751543 7.310905 0.000000 0.000000 -0.000000 -0.066727 0.997771
16.701000 33.756211 7.310279 0.000000 0.000000 -0.000000 -0.066669 0.997775
16.702000 33.760877 7.309653 0.000000 0.000000 -0.000000 -0.066610 0.997779
16.703000 33.765540 7.309027 0.000000 0.000000 -0.000000 -0.066551 0.997783
16.704000 33.770201 7.308403 0.000000 0.000000 -0.000000 -0.066492 0.997787
16.705000 33.774860 7.307780 0.000000 0.000000 -0.000000 -0.066432 0.997791
16.706000 33.779518 7.307157 0.000000 0.000000 -0.000000 -0.066372 0.997795
16.707000 33.784172 7.306535 0.000000 0.000000 -0.000000 -0.066311 0.997799
16.708000 33.788825 7.305914 0.000000 0.000000 -0.000000 -0.066251 0.997803
16.709000 33.793476 7.305294 0.000000 0.000000 -0.000000 -0.066190 0.997807
16.710000 33.798124 7.304675 0.000000 0.000000 -0.000000 -0.066128 0.997811
16.711000 33.802770 7.304057 0.000000 0.000000 -0.000000 -0.066066 0.997815
16.712000 33.807414 7.303440 0.000000 0.000000 -0.000000 -0.066004 0.997819
16.713000 33.812056 7.302823 0.000000 0.000000 -0.000000 -0.065942 0.997823
16.714000 33.816696 7.302208 0.000000 0.000000 -0.000000 -0.065879 0.997828
