#timestamp tx ty tz qx qy qz qw
9.610606 7.912312 34.995105 0.192895 0.201978 -0.644229 -0.195977 0.711173
9.611606 7.926207 34.995159 0.192789 0.202000 -0.644164 -0.196006 0.711218
9.612606 7.940115 34.995206 0.192682 0.202021 -0.644098 -0.196036 0.711263
9.613606 7.954036 34.995244 0.192575 0.202043 -0.644033 -0.196065 0.711308
9.614606 7.967971 34.995275 0.192468 0.202065 -0.643968 -0.196094 0.711353
9.615606 7.981918 34.995297 0.192360 0.202087 -0.643902 -0.196123 0.711398
9.616606 7.995879 34.995311 0.192252 0.202108 -0.643837 -0.196152 0.711442
9.617606 8.009852 34.995317 0.192144 0.202130 -0.643772 -0.196181 0.711487
9.618606 8.023839 34.995314 0.192036 0.202151 -0.643707 -0.196210 0.711532
9.619606 8.037839 34.995304 0.191927 0.202173 -0.643642 -0.196240 0.711577
9.620606 8.051851 34.995286 0.191818 0.202194 -0.643577 -0.196269 0.711621
9.621606 8.065877 34.995259 0.191709 0.202216 -0.643512 -0.196298 0.711666
9.622606 8.079915 34.995225 0.191600 0.202237 -0.643447 -0.196327 0.711710
9.623606 8.093966 34.995182 0.191490 0.202258 -0.643382 -0.196356 0.711755
9.624606 8.108030 34.995132 0.191381 0.202280 -0.643317 -0.196385 0.711799
9.625606 8.122107 34.995074 0.191271 0.202301 -0.643253 -0.196415 0.711844
9.626606 8.136197 34.995007 0.191160 0.202322 -0.643188 -0.196444 0.711888
9.627606 8.150300 34.994933 0.191050 0.202343 -0.643123 -0.196473 0.711933
9.628606 8.164415 34.994850 0.190939 0.202364 -0.643058 -0.196502 0.711977
9.629606 8.178543 34.994760 0.190828 0.202385 -0.642994 -0.196532 0.712021
9.630606 8.192684 34.994662 0.190717 0.202406 -0.642929 -0.196561 0.712066
9.631606 8.206837 34.994556 0.190605 0.202427 -0.642865 -0.196590 0.712110
9.632606 8.221003 34.994442 0.190494 0.202448 -0.642800 -0.196619 0.712154
9.633606 8.235181 34.994320 0.190382 0.202469 -0.642736 -0.196649 0.712199
9.634606 8.249373 34.994190 0.190269 0.202490 -0.642671 -0.196678 0.712243
9.635606 8.263576 34.994052 0.190157 0.202510 -0.642607 -0.196707 0.712287
